Streaming output truncated to the last 5000 lines.
{'t': 31.230000000002082, 'V': 88.5652011091532, 'n': 0.6904868524128562, 'm': 0.9954729726868649, 'h': 0.2063302967184535}
{'t': 31.240000000002084, 'V': 88.05850654701523, 'n': 0.6926342094141533, 'm': 0.9954706748065051, 'h': 0.2042795112417416}
{'t': 31.250000000002085, 'V': 87.55077316551696, 'n': 0.694746451908606, 'm': 0.9954579554432331, 'h': 0.20224966482945775}
{'t': 31.260000000002087, 'V': 87.04212611706157, 'n': 0.6968240276460478, 'm': 0.9954352103672084, 'h': 0.20024056424023554}
{'t': 31.27000000000209, 'V': 86.53268700529271, 'n': 0.698867380346699, 'm': 0.9954027896726646, 'h': 0.19825201869510636}
{'t': 31.28000000000209, 'V': 86.02257389902272, 'n': 0.700876949596102, 'm': 0.9953610012656292, 'h': 0.19628383986642917}
{'t': 31.29000000000209, 'V': 85.51190135182794, 'n': 0.7028531707481851, 'm': 0.9953101140387896, 'h': 0.19433584186705155}
{'t': 31.300000000002093, 'V': 85.00078042685628, 'n': 0.7047964748362319, 'm': 0.995250360761441, 'h': 0.19240784123968926}
{'t': 31.310000000002095, 'V': 84.48931872641482, 'n': 0.7067072884915276, 'm': 0.9951819407099215, 'h': 0.19049965694651086}
{'t': 31.320000000002096, 'V': 83.97762042592883, 'n': 0.7085860338694449, 'm': 0.9951050220616315, 'h': 0.18861111035891362}
{'t': 31.330000000002098, 'V': 83.46578631188498, 'n': 0.7104331285827257, 'm': 0.9950197440736502, 'h': 0.18674202524747616}
{'t': 31.3400000000021, 'V': 82.95391382339336, 'n': 0.7122489856417158, 'm': 0.9949262190650536, 'h': 0.18489222777207293}
{'t': 31.3500000000021, 'V': 82.44209709702356, 'n': 0.7140340134012996, 'm': 0.9948245342203176, 'h': 0.1830615464721347}
{'t': 31.360000000002103, 'V': 81.93042701459, 'n': 0.715788615514288, 'm': 0.9947147532296162, 'h': 0.18124981225703918}
{'t': 31.370000000002104, 'V': 81.41899125358071, 'n': 0.7175131908910076, 'm': 0.9945969177804027, 'h': 0.17945685839661443}
{'t': 31.380000000002106, 'V': 80.90787433994258, 'n': 0.7192081336648424, 'm': 0.9944710489133641, 'h': 0.1776825205117383}
{'t': 31.390000000002107, 'V': 80.39715770295297, 'n': 0.7208738331634797, 'm': 0.9943371482546656, 'h': 0.17592663656501495}
{'t': 31.40000000000211, 'V': 79.88691973192499, 'n': 0.722510673885616, 'm': 0.9941951991353295, 'h': 0.17418904685151018}
{'t': 31.41000000000211, 'V': 79.37723583450945, 'n': 0.7241190354828788, 'm': 0.9940451676076284, 'h': 0.17246959398952588}
